Timestamp,MÊS,ITEM,CATEGORIA,VALOR,O GASTO FOI URGENTE?,FORMA DE PAGAMENTO,GANHO
1/1/2024 11:44:29,NOV,roupa,,91,NÃO,DÉBITO,
1/1/2024 11:44:51,NOV,academia,,195,FOI PARA MEU BEM ESTAR,DÉBITO,
1/1/2024 11:45:12,NOV,uber,TRANSPORTE,30,SIM,DÉBITO,
1/1/2024 11:45:31,NOV,uber,TRANSPORTE,43,SIM,PIX,
1/1/2024 11:45:50,NOV,comida,COMIDA,4,NÃO,DINHEIRO,
1/1/2024 11:46:16,NOV,pipa,BEM ESTAR,90,NÃO,PIX,
1/1/2024 11:46:37,NOV,bebidas,COMIDA,32,NÃO,DÉBITO,
1/1/2024 11:47:00,NOV,passagens j,,30,NÃO,PIX,
1/1/2024 11:52:06,DEZ,spotify,BEM ESTAR,12,FOI PARA MEU BEM ESTAR,PIX,
1/1/2024 11:53:13,DEZ,sorvete,,51.25,,DÉBITO,
1/1/2024 11:53:32,DEZ,jarra,,35,NÃO,DÉBITO,
1/1/2024 11:54:02,DEZ,almoço,BEM ESTAR,40,NÃO,DÉBITO,
1/1/2024 11:54:25,DEZ,cocacola,COMIDA,10,NÃO,PIX,
1/1/2024 11:54:46,DEZ,aposta,,20,NÃO,PIX,
1/1/2024 11:55:10,DEZ,j,,40,,PIX,555
1/1/2024 11:55:42,DEZ,passagens,TRANSPORTE,30,NÃO,DÉBITO,
1/1/2024 11:56:13,DEZ,salgados,COMIDA,7,NÃO,DÉBITO,
1/1/2024 11:56:34,DEZ,celular,NECESSÁRIO,500,SIM,PIX,250
1/1/2024 11:58:50,DEZ,v,,10,SIM,PIX,
1/1/2024 11:59:38,DEZ,sorvete,COMIDA,14.9,NÃO,DÉBITO,
1/1/2024 12:00:06,DEZ,presente manu,NECESSÁRIO,100,SIM,DÉBITO,700
1/1/2024 12:00:29,DEZ,quadro,BEM ESTAR,40,NÃO,DÉBITO,
1/1/2024 12:00:57,DEZ,panetones,,156.61,NÃO,DÉBITO,
1/1/2024 12:01:23,DEZ,sorvete extensão,COMIDA,28,NÃO,DÉBITO,
1/1/2024 12:02:00,DEZ,créditos,NECESSÁRIO,40,SIM,PIX,30
1/1/2024 12:02:33,DEZ,random,,5,NÃO,DINHEIRO,
1/1/2024 12:03:19,DEZ,cookies,COMIDA,7,NÃO,PIX,9.36
1/1/2024 12:04:09,DEZ,xerox,FACULDADE,6,NÃO,PIX,
1/1/2024 12:04:31,DEZ,uber,TRANSPORTE,11.76,SIM,PIX,
1/1/2024 12:04:53,DEZ,secap,FACULDADE,25,SIM,PIX,17
1/1/2024 12:05:17,DEZ,uber,TRANSPORTE,18,NÃO,PIX,
1/1/2024 12:05:42,DEZ,passagem,TRANSPORTE,6,FOI PARA MEU BEM ESTAR,DINHEIRO,50
1/1/2024 12:06:09,DEZ,cachaça,BEM ESTAR,16,NÃO,DÉBITO,
1/1/2024 12:06:31,DEZ,vinhos,NECESSÁRIO,38.5,NÃO,DÉBITO,
1/1/2024 12:06:49,DEZ,cerveja,COMIDA,28,NÃO,DÉBITO,
1/1/2024 12:07:16,DEZ,uber,TRANSPORTE,25,NÃO,PIX,
1/1/2024 12:07:31,DEZ,uber,TRANSPORTE,18,NÃO,PIX,
1/1/2024 12:07:57,DEZ,água,COMIDA,10,SIM,DINHEIRO,100
1/1/2024 12:08:18,DEZ,bebidas,BEM ESTAR,46,NÃO,DÉBITO,
1/1/2024 12:08:44,DEZ,uber,TRANSPORTE,30,SIM,PIX,
1/1/2024 12:09:01,DEZ,roupa,NECESSÁRIO,89,,CRÉDITO,
1/1/2024 12:09:17,DEZ,uber,TRANSPORTE,60,SIM,CRÉDITO,
1/1/2024 12:09:36,DEZ,uber,TRANSPORTE,40,SIM,CRÉDITO,
1/1/2024 12:09:55,DEZ,barco,,95.2,NÃO,CRÉDITO,
1/1/2024 12:10:17,DEZ,magazine,,25,NÃO,CRÉDITO,
1/1/2024 12:10:33,DEZ,uber,TRANSPORTE,34,NÃO,CRÉDITO,
1/1/2024 12:10:52,DEZ,roupa,NECESSÁRIO,5,NÃO,CRÉDITO,
1/1/2024 12:11:17,DEZ,short,NECESSÁRIO,55,SIM,CRÉDITO,
